,municipio,qtd_notifi_dengue,data
4060,JOINVILLE,263,2025-05-01
4185,JOINVILLE,132,2025-06-01
4261,JOINVILLE,35,2025-07-01
4300,JOINVILLE,10,2025-08-01
4335,JOINVILLE,9,2025-09-01
4367,JOINVILLE,5,2025-10-01
4405,JOINVILLE,18,2025-11-01
4450,JOINVILLE,22,2025-12-01
4492,JOINVILLE,6,2026-01-01
4507,JOINVILLE,1,2026-02-01
20,MARAVILHA,1,2020-12-01
58,MARAVILHA,1,2021-02-01
93,MARAVILHA,1,2021-03-01
142,MARAVILHA,1,2021-04-01
353,MARAVILHA,7,2022-01-01
396,MARAVILHA,83,2022-02-01
493,MARAVILHA,1337,2022-03-01
646,MARAVILHA,1954,2022-04-01
814,MARAVILHA,739,2022-05-01
953,MARAVILHA,21,2022-06-01
1035,MARAVILHA,4,2022-07-01
1269,MARAVILHA,4,2023-02-01
1344,MARAVILHA,3,2023-03-01
1466,MARAVILHA,1,2023-04-01
1608,MARAVILHA,2,2023-05-01
1963,MARAVILHA,1,2023-11-01
2086,MARAVILHA,12,2024-01-01
2223,MARAVILHA,55,2024-02-01
2418,MARAVILHA,196,2024-03-01
2647,MARAVILHA,331,2024-04-01
2891,MARAVILHA,333,2024-05-01
3103,MARAVILHA,64,2024-06-01
3264,MARAVILHA,11,2024-07-01
3354,MARAVILHA,1,2024-08-01
3549,MARAVILHA,1,2024-12-01
3610,MARAVILHA,3,2025-01-01
3787,MARAVILHA,10,2025-03-01
3913,MARAVILHA,11,2025-04-01
4066,MARAVILHA,19,2025-05-01
4188,MARAVILHA,12,2025-06-01
4263,MARAVILHA,1,2025-07-01
4302,MARAVILHA,1,2025-08-01
4452,MARAVILHA,2,2025-12-01
498,NOVA TRENTO,2,2022-03-01
654,NOVA TRENTO,17,2022-04-01
822,NOVA TRENTO,10,2022-05-01
959,NOVA TRENTO,2,2022-06-01
1088,NOVA TRENTO,1,2022-08-01
1219,NOVA TRENTO,2,2023-01-01
1348,NOVA TRENTO,2,2023-03-01
1473,NOVA TRENTO,9,2023-04-01
1615,NOVA TRENTO,9,2023-05-01
1743,NOVA TRENTO,1,2023-06-01
1905,NOVA TRENTO,1,2023-09-01
2005,NOVA TRENTO,1,2023-12-01
2090,NOVA TRENTO,1,2024-01-01
2230,NOVA TRENTO,15,2024-02-01
2428,NOVA TRENTO,84,2024-03-01
2660,NOVA TRENTO,182,2024-04-01
2901,NOVA TRENTO,141,2024-05-01
3112,NOVA TRENTO,16,2024-06-01
3270,NOVA TRENTO,6,2024-07-01
3790,NOVA TRENTO,3,2025-03-01
3920,NOVA TRENTO,2,2025-04-01
4072,NOVA TRENTO,1,2025-05-01
4193,NOVA TRENTO,1,2025-06-01
4454,NOVA TRENTO,1,2025-12-01
3,PALHOCA,1,2020-03-01
7,PALHOCA,2,2020-04-01
148,PALHOCA,15,2021-04-01
203,PALHOCA,18,2021-05-01
247,PALHOCA,9,2021-06-01
270,PALHOCA,1,2021-07-01
398,PALHOCA,9,2022-02-01
501,PALHOCA,14,2022-03-01
658,PALHOCA,43,2022-04-01
828,PALHOCA,96,2022-05-01
960,PALHOCA,17,2022-06-01
1038,PALHOCA,19,2022-07-01
1089,PALHOCA,1,2022-08-01
1119,PALHOCA,2,2022-09-01
1133,PALHOCA,2,2022-10-01
1184,PALHOCA,9,2022-12-01
1221,PALHOCA,151,2023-01-01
1271,PALHOCA,951,2023-02-01
1349,PALHOCA,2824,2023-03-01
1477,PALHOCA,4664,2023-04-01
1619,PALHOCA,2856,2023-05-01
1745,PALHOCA,982,2023-06-01
1821,PALHOCA,166,2023-07-01
1871,PALHOCA,23,2023-08-01
1906,PALHOCA,11,2023-09-01
1939,PALHOCA,59,2023-10-01
1964,PALHOCA,43,2023-11-01
2006,PALHOCA,36,2023-12-01
2093,PALHOCA,16,2024-01-01
2234,PALHOCA,62,2024-02-01
2433,PALHOCA,122,2024-03-01
2667,PALHOCA,175,2024-04-01
2908,PALHOCA,204,2024-05-01
3118,PALHOCA,79,2024-06-01
3274,PALHOCA,20,2024-07-01
3358,PALHOCA,6,2024-08-01
3412,PALHOCA,8,2024-09-01
3452,PALHOCA,5,2024-10-01
3495,PALHOCA,11,2024-11-01
3553,PALHOCA,20,2024-12-01
3615,PALHOCA,25,2025-01-01
3701,PALHOCA,17,2025-02-01
3794,PALHOCA,43,2025-03-01
3923,PALHOCA,138,2025-04-01
4075,PALHOCA,140,2025-05-01
4195,PALHOCA,78,2025-06-01
4265,PALHOCA,26,2025-07-01
4305,PALHOCA,12,2025-08-01
4338,PALHOCA,7,2025-09-01
4372,PALHOCA,6,2025-10-01
4406,PALHOCA,2,2025-11-01
4455,PALHOCA,7,2025-12-01
4508,PALHOCA,1,2026-02-01
205,PALMITOS,1,2021-05-01
356,PALMITOS,3,2022-01-01
400,PALMITOS,14,2022-02-01
503,PALMITOS,575,2022-03-01
660,PALMITOS,977,2022-04-01
830,PALMITOS,401,2022-05-01
961,PALMITOS,55,2022-06-01
1039,PALMITOS,12,2022-07-01
1120,PALMITOS,1,2022-09-01
1135,PALMITOS,1,2022-10-01
1185,PALMITOS,1,2022-12-01
1350,PALMITOS,4,2023-03-01
1479,PALMITOS,15,2023-04-01
1621,PALMITOS,19,2023-05-01
1746,PALMITOS,2,2023-06-01
2095,PALMITOS,2,2024-01-01
2237,PALMITOS,15,2024-02-01
2435,PALMITOS,74,2024-03-01
2669,PALMITOS,192,2024-04-01
2910,PALMITOS,259,2024-05-01
3120,PALMITOS,69,2024-06-01
3276,PALMITOS,19,2024-07-01
3703,PALMITOS,1,2025-02-01
3796,PALMITOS,2,2025-03-01
3925,PALMITOS,7,2025-04-01
4077,PALMITOS,4,2025-05-01
4196,PALMITOS,1,2025-06-01
4456,PALMITOS,1,2025-12-01
152,PINHALZINHO,2,2021-04-01
207,PINHALZINHO,4,2021-05-01
249,PINHALZINHO,2,2021-06-01
508,PINHALZINHO,32,2022-03-01
666,PINHALZINHO,54,2022-04-01
834,PINHALZINHO,21,2022-05-01
965,PINHALZINHO,4,2022-06-01
1041,PINHALZINHO,1,2022-07-01
1273,PINHALZINHO,2,2023-02-01
1354,PINHALZINHO,3,2023-03-01
1485,PINHALZINHO,16,2023-04-01
1624,PINHALZINHO,21,2023-05-01
1748,PINHALZINHO,7,2023-06-01
2008,PINHALZINHO,1,2023-12-01
2243,PINHALZINHO,6,2024-02-01
2442,PINHALZINHO,39,2024-03-01
2677,PINHALZINHO,149,2024-04-01
2920,PINHALZINHO,244,2024-05-01
3125,PINHALZINHO,66,2024-06-01
3278,PINHALZINHO,9,2024-07-01
3360,PINHALZINHO,1,2024-08-01
3705,PINHALZINHO,2,2025-02-01
3800,PINHALZINHO,10,2025-03-01
3933,PINHALZINHO,46,2025-04-01
4082,PINHALZINHO,63,2025-05-01
4198,PINHALZINHO,16,2025-06-01
4267,PINHALZINHO,2,2025-07-01
4407,PINHALZINHO,2,2025-11-01
4457,PINHALZINHO,1,2025-12-01
154,PORTO BELO,2,2021-04-01
209,PORTO BELO,1,2021-05-01
272,PORTO BELO,1,2021-07-01
402,PORTO BELO,1,2022-02-01
512,PORTO BELO,10,2022-03-01
671,PORTO BELO,120,2022-04-01
839,PORTO BELO,203,2022-05-01
968,PORTO BELO,47,2022-06-01
1042,PORTO BELO,10,2022-07-01
1091,PORTO BELO,1,2022-08-01
1121,PORTO BELO,1,2022-09-01
1274,PORTO BELO,1,2023-02-01
1356,PORTO BELO,18,2023-03-01
1488,PORTO BELO,181,2023-04-01
1628,PORTO BELO,299,2023-05-01
1750,PORTO BELO,161,2023-06-01
1824,PORTO BELO,54,2023-07-01
1873,PORTO BELO,4,2023-08-01
1967,PORTO BELO,1,2023-11-01
2009,PORTO BELO,1,2023-12-01
2101,PORTO BELO,3,2024-01-01
2248,PORTO BELO,60,2024-02-01
2447,PORTO BELO,324,2024-03-01
2682,PORTO BELO,479,2024-04-01
2926,PORTO BELO,386,2024-05-01
3131,PORTO BELO,88,2024-06-01
3282,PORTO BELO,14,2024-07-01
3454,PORTO BELO,1,2024-10-01
3557,PORTO BELO,1,2024-12-01
3706,PORTO BELO,4,2025-02-01
3802,PORTO BELO,14,2025-03-01
3938,PORTO BELO,112,2025-04-01
4086,PORTO BELO,147,2025-05-01
4201,PORTO BELO,103,2025-06-01
4269,PORTO BELO,16,2025-07-01
4306,PORTO BELO,1,2025-08-01
4374,PORTO BELO,3,2025-10-01
4408,PORTO BELO,4,2025-11-01
4458,PORTO BELO,1,2025-12-01
210,RIO DO SUL,1,2021-05-01
273,RIO DO SUL,1,2021-07-01
676,RIO DO SUL,2,2022-04-01
845,RIO DO SUL,6,2022-05-01
970,RIO DO SUL,2,2022-06-01
1044,RIO DO SUL,2,2022-07-01
1093,RIO DO SUL,1,2022-08-01
1136,RIO DO SUL,1,2022-10-01
1277,RIO DO SUL,1,2023-02-01
1358,RIO DO SUL,6,2023-03-01
1491,RIO DO SUL,8,2023-04-01
1634,RIO DO SUL,13,2023-05-01
1753,RIO DO SUL,2,2023-06-01
1825,RIO DO SUL,2,2023-07-01
1874,RIO DO SUL,1,2023-08-01
2254,RIO DO SUL,14,2024-02-01
2455,RIO DO SUL,38,2024-03-01
2693,RIO DO SUL,98,2024-04-01
2936,RIO DO SUL,146,2024-05-01
3139,RIO DO SUL,39,2024-06-01
3289,RIO DO SUL,7,2024-07-01
3622,RIO DO SUL,2,2025-01-01
3709,RIO DO SUL,1,2025-02-01
3806,RIO DO SUL,4,2025-03-01
3945,RIO DO SUL,11,2025-04-01
4094,RIO DO SUL,20,2025-05-01
4205,RIO DO SUL,3,2025-06-01
4409,RIO DO SUL,1,2025-11-01
4460,RIO DO SUL,2,2025-12-01
4496,RIO DO SUL,2,2026-01-01
685,SANTO AMARO DA IMPERATRIZ,1,2022-04-01
852,SANTO AMARO DA IMPERATRIZ,2,2022-05-01
976,SANTO AMARO DA IMPERATRIZ,2,2022-06-01
1279,SANTO AMARO DA IMPERATRIZ,1,2023-02-01
1360,SANTO AMARO DA IMPERATRIZ,37,2023-03-01
1499,SANTO AMARO DA IMPERATRIZ,125,2023-04-01
1640,SANTO AMARO DA IMPERATRIZ,91,2023-05-01
1758,SANTO AMARO DA IMPERATRIZ,42,2023-06-01
1826,SANTO AMARO DA IMPERATRIZ,3,2023-07-01
1875,SANTO AMARO DA IMPERATRIZ,3,2023-08-01
1911,SANTO AMARO DA IMPERATRIZ,1,2023-09-01
2108,SANTO AMARO DA IMPERATRIZ,1,2024-01-01
2263,SANTO AMARO DA IMPERATRIZ,2,2024-02-01
2469,SANTO AMARO DA IMPERATRIZ,11,2024-03-01
2706,SANTO AMARO DA IMPERATRIZ,9,2024-04-01
2951,SANTO AMARO DA IMPERATRIZ,21,2024-05-01
3150,SANTO AMARO DA IMPERATRIZ,2,2024-06-01
3294,SANTO AMARO DA IMPERATRIZ,1,2024-07-01
3364,SANTO AMARO DA IMPERATRIZ,1,2024-08-01
3416,SANTO AMARO DA IMPERATRIZ,1,2024-09-01
3499,SANTO AMARO DA IMPERATRIZ,1,2024-11-01
3626,SANTO AMARO DA IMPERATRIZ,1,2025-01-01
3712,SANTO AMARO DA IMPERATRIZ,2,2025-02-01
3810,SANTO AMARO DA IMPERATRIZ,1,2025-03-01
3949,SANTO AMARO DA IMPERATRIZ,7,2025-04-01
4097,SANTO AMARO DA IMPERATRIZ,2,2025-05-01
4209,SANTO AMARO DA IMPERATRIZ,3,2025-06-01
4342,SANTO AMARO DA IMPERATRIZ,1,2025-09-01
4412,SANTO AMARO DA IMPERATRIZ,1,2025-11-01
4461,SANTO AMARO DA IMPERATRIZ,2,2025-12-01
4497,SANTO AMARO DA IMPERATRIZ,2,2026-01-01
100,SAO FRANCISCO DO SUL,3,2021-03-01
158,SAO FRANCISCO DO SUL,1,2021-04-01
214,SAO FRANCISCO DO SUL,9,2021-05-01
252,SAO FRANCISCO DO SUL,1,2021-06-01
306,SAO FRANCISCO DO SUL,1,2021-10-01
526,SAO FRANCISCO DO SUL,4,2022-03-01
691,SAO FRANCISCO DO SUL,32,2022-04-01
857,SAO FRANCISCO DO SUL,99,2022-05-01
979,SAO FRANCISCO DO SUL,68,2022-06-01
1050,SAO FRANCISCO DO SUL,18,2022-07-01
1095,SAO FRANCISCO DO SUL,9,2022-08-01
1122,SAO FRANCISCO DO SUL,3,2022-09-01
1154,SAO FRANCISCO DO SUL,2,2022-11-01
1188,SAO FRANCISCO DO SUL,7,2022-12-01
1224,SAO FRANCISCO DO SUL,4,2023-01-01
1280,SAO FRANCISCO DO SUL,9,2023-02-01
1363,SAO FRANCISCO DO SUL,74,2023-03-01
1503,SAO FRANCISCO DO SUL,392,2023-04-01
1645,SAO FRANCISCO DO SUL,775,2023-05-01
1761,SAO FRANCISCO DO SUL,366,2023-06-01
1829,SAO FRANCISCO DO SUL,85,2023-07-01
1877,SAO FRANCISCO DO SUL,22,2023-08-01
1913,SAO FRANCISCO DO SUL,8,2023-09-01
1942,SAO FRANCISCO DO SUL,3,2023-10-01
1969,SAO FRANCISCO DO SUL,6,2023-11-01
2013,SAO FRANCISCO DO SUL,17,2023-12-01
2111,SAO FRANCISCO DO SUL,113,2024-01-01
2266,SAO FRANCISCO DO SUL,260,2024-02-01
2474,SAO FRANCISCO DO SUL,1216,2024-03-01
2712,SAO FRANCISCO DO SUL,1406,2024-04-01
2956,SAO FRANCISCO DO SUL,1334,2024-05-01
3156,SAO FRANCISCO DO SUL,415,2024-06-01
3298,SAO FRANCISCO DO SUL,70,2024-07-01
3367,SAO FRANCISCO DO SUL,7,2024-08-01
3417,SAO FRANCISCO DO SUL,2,2024-09-01
3456,SAO FRANCISCO DO SUL,3,2024-10-01
3630,SAO FRANCISCO DO SUL,5,2025-01-01
3713,SAO FRANCISCO DO SUL,4,2025-02-01
3812,SAO FRANCISCO DO SUL,7,2025-03-01
3951,SAO FRANCISCO DO SUL,25,2025-04-01
4100,SAO FRANCISCO DO SUL,28,2025-05-01
4210,SAO FRANCISCO DO SUL,14,2025-06-01
4271,SAO FRANCISCO DO SUL,6,2025-07-01
4308,SAO FRANCISCO DO SUL,1,2025-08-01
4376,SAO FRANCISCO DO SUL,1,2025-10-01
4413,SAO FRANCISCO DO SUL,1,2025-11-01
4464,SAO FRANCISCO DO SUL,3,2025-12-01
4498,SAO FRANCISCO DO SUL,1,2026-01-01
64,SAO JOSE,1,2021-02-01
101,SAO JOSE,1,2021-03-01
159,SAO JOSE,33,2021-04-01
216,SAO JOSE,55,2021-05-01
253,SAO JOSE,10,2021-06-01
275,SAO JOSE,2,2021-07-01
294,SAO JOSE,1,2021-09-01
307,SAO JOSE,1,2021-10-01
360,SAO JOSE,1,2022-01-01
409,SAO JOSE,1,2022-02-01
528,SAO JOSE,14,2022-03-01
694,SAO JOSE,34,2022-04-01
862,SAO JOSE,48,2022-05-01
982,SAO JOSE,18,2022-06-01
1053,SAO JOSE,6,2022-07-01
1098,SAO JOSE,1,2022-08-01
1137,SAO JOSE,2,2022-10-01
1189,SAO JOSE,4,2022-12-01
1225,SAO JOSE,9,2023-01-01
1283,SAO JOSE,131,2023-02-01
1366,SAO JOSE,1432,2023-03-01
1507,SAO JOSE,3488,2023-04-01
1649,SAO JOSE,3187,2023-05-01
1767,SAO JOSE,994,2023-06-01
1832,SAO JOSE,185,2023-07-01
1880,SAO JOSE,45,2023-08-01
1914,SAO JOSE,19,2023-09-01
1944,SAO JOSE,7,2023-10-01
1971,SAO JOSE,6,2023-11-01
2017,SAO JOSE,15,2023-12-01
2115,SAO JOSE,64,2024-01-01
2271,SAO JOSE,196,2024-02-01
2479,SAO JOSE,413,2024-03-01
2718,SAO JOSE,578,2024-04-01
2960,SAO JOSE,529,2024-05-01
3160,SAO JOSE,213,2024-06-01
3302,SAO JOSE,76,2024-07-01
3369,SAO JOSE,31,2024-08-01
3419,SAO JOSE,24,2024-09-01
3457,SAO JOSE,20,2024-10-01
3500,SAO JOSE,21,2024-11-01
3563,SAO JOSE,50,2024-12-01
3633,SAO JOSE,55,2025-01-01
3715,SAO JOSE,63,2025-02-01
3815,SAO JOSE,97,2025-03-01
3955,SAO JOSE,159,2025-04-01
4103,SAO JOSE,182,2025-05-01
4212,SAO JOSE,132,2025-06-01
4273,SAO JOSE,53,2025-07-01
4310,SAO JOSE,41,2025-08-01
4343,SAO JOSE,15,2025-09-01
4377,SAO JOSE,26,2025-10-01
4414,SAO JOSE,25,2025-11-01
4465,SAO JOSE,25,2025-12-01
4499,SAO JOSE,9,2026-01-01
4509,SAO JOSE,5,2026-02-01
102,SAO JOSE DO CEDRO,3,2021-03-01
217,SAO JOSE DO CEDRO,1,2021-05-01
254,SAO JOSE DO CEDRO,1,2021-06-01
410,SAO JOSE DO CEDRO,52,2022-02-01
529,SAO JOSE DO CEDRO,532,2022-03-01
695,SAO JOSE DO CEDRO,556,2022-04-01
863,SAO JOSE DO CEDRO,197,2022-05-01
983,SAO JOSE DO CEDRO,2,2022-06-01
1054,SAO JOSE DO CEDRO,3,2022-07-01
1099,SAO JOSE DO CEDRO,2,2022-08-01
1284,SAO JOSE DO CEDRO,3,2023-02-01
1367,SAO JOSE DO CEDRO,1,2023-03-01
1650,SAO JOSE DO CEDRO,2,2023-05-01
1833,SAO JOSE DO CEDRO,1,2023-07-01
2272,SAO JOSE DO CEDRO,15,2024-02-01
2480,SAO JOSE DO CEDRO,27,2024-03-01
2719,SAO JOSE DO CEDRO,112,2024-04-01
2961,SAO JOSE DO CEDRO,132,2024-05-01
3161,SAO JOSE DO CEDRO,14,2024-06-01
3303,SAO JOSE DO CEDRO,2,2024-07-01
3564,SAO JOSE DO CEDRO,1,2024-12-01
3716,SAO JOSE DO CEDRO,1,2025-02-01
3816,SAO JOSE DO CEDRO,15,2025-03-01
3956,SAO JOSE DO CEDRO,53,2025-04-01
4104,SAO JOSE DO CEDRO,38,2025-05-01
4213,SAO JOSE DO CEDRO,5,2025-06-01
4274,SAO JOSE DO CEDRO,2,2025-07-01
4466,SAO JOSE DO CEDRO,1,2025-12-01
4500,SAO JOSE DO CEDRO,1,2026-01-01
34,SAO MIGUEL DO OESTE,1,2021-01-01
66,SAO MIGUEL DO OESTE,1,2021-02-01
104,SAO MIGUEL DO OESTE,3,2021-03-01
219,SAO MIGUEL DO OESTE,5,2021-05-01
361,SAO MIGUEL DO OESTE,2,2022-01-01
412,SAO MIGUEL DO OESTE,10,2022-02-01
532,SAO MIGUEL DO OESTE,229,2022-03-01
698,SAO MIGUEL DO OESTE,392,2022-04-01
866,SAO MIGUEL DO OESTE,410,2022-05-01
986,SAO MIGUEL DO OESTE,54,2022-06-01
1055,SAO MIGUEL DO OESTE,2,2022-07-01
1100,SAO MIGUEL DO OESTE,1,2022-08-01
1190,SAO MIGUEL DO OESTE,1,2022-12-01
1285,SAO MIGUEL DO OESTE,2,2023-02-01
1368,SAO MIGUEL DO OESTE,2,2023-03-01
1511,SAO MIGUEL DO OESTE,5,2023-04-01
1653,SAO MIGUEL DO OESTE,2,2023-05-01
1770,SAO MIGUEL DO OESTE,1,2023-06-01
1835,SAO MIGUEL DO OESTE,1,2023-07-01
2018,SAO MIGUEL DO OESTE,1,2023-12-01
2117,SAO MIGUEL DO OESTE,7,2024-01-01
2275,SAO MIGUEL DO OESTE,20,2024-02-01
2485,SAO MIGUEL DO OESTE,152,2024-03-01
2725,SAO MIGUEL DO OESTE,636,2024-04-01
2966,SAO MIGUEL DO OESTE,828,2024-05-01
3164,SAO MIGUEL DO OESTE,149,2024-06-01
3305,SAO MIGUEL DO OESTE,37,2024-07-01
3371,SAO MIGUEL DO OESTE,2,2024-08-01
3565,SAO MIGUEL DO OESTE,5,2024-12-01
3637,SAO MIGUEL DO OESTE,3,2025-01-01
3718,SAO MIGUEL DO OESTE,37,2025-02-01
3819,SAO MIGUEL DO OESTE,184,2025-03-01
3960,SAO MIGUEL DO OESTE,267,2025-04-01
4107,SAO MIGUEL DO OESTE,93,2025-05-01
4216,SAO MIGUEL DO OESTE,22,2025-06-01
4379,SAO MIGUEL DO OESTE,1,2025-10-01
4415,SAO MIGUEL DO OESTE,1,2025-11-01
4467,SAO MIGUEL DO OESTE,4,2025-12-01
413,SAUDADES,3,2022-02-01
533,SAUDADES,9,2022-03-01
699,SAUDADES,91,2022-04-01
867,SAUDADES,126,2022-05-01
988,SAUDADES,12,2022-06-01
1056,SAUDADES,1,2022-07-01
1101,SAUDADES,1,2022-08-01
1226,SAUDADES,1,2023-01-01
1286,SAUDADES,1,2023-02-01
1370,SAUDADES,49,2023-03-01
1513,SAUDADES,171,2023-04-01
1655,SAUDADES,195,2023-05-01
1771,SAUDADES,42,2023-06-01
1836,SAUDADES,6,2023-07-01
1881,SAUDADES,1,2023-08-01
1915,SAUDADES,1,2023-09-01
2118,SAUDADES,5,2024-01-01
2276,SAUDADES,25,2024-02-01
2486,SAUDADES,94,2024-03-01
2727,SAUDADES,96,2024-04-01
2968,SAUDADES,75,2024-05-01
3165,SAUDADES,24,2024-06-01
3307,SAUDADES,4,2024-07-01
3961,SAUDADES,7,2025-04-01
4108,SAUDADES,5,2025-05-01
4217,SAUDADES,1,2025-06-01
4344,SAUDADES,1,2025-09-01
4468,SAUDADES,3,2025-12-01
67,SEARA,3,2021-02-01
105,SEARA,3,2021-03-01
162,SEARA,3,2021-04-01
221,SEARA,1,2021-05-01
295,SEARA,1,2021-09-01
362,SEARA,3,2022-01-01
414,SEARA,93,2022-02-01
534,SEARA,641,2022-03-01
701,SEARA,677,2022-04-01
869,SEARA,279,2022-05-01
990,SEARA,15,2022-06-01
1057,SEARA,3,2022-07-01
1123,SEARA,1,2022-09-01
1138,SEARA,1,2022-10-01
1191,SEARA,1,2022-12-01
1227,SEARA,2,2023-01-01
1371,SEARA,3,2023-03-01
1515,SEARA,2,2023-04-01
1657,SEARA,6,2023-05-01
1916,SEARA,1,2023-09-01
1945,SEARA,1,2023-10-01
2020,SEARA,3,2023-12-01
2120,SEARA,1,2024-01-01
2278,SEARA,4,2024-02-01
2488,SEARA,7,2024-03-01
2729,SEARA,11,2024-04-01
2970,SEARA,26,2024-05-01
3167,SEARA,9,2024-06-01
3309,SEARA,1,2024-07-01
3502,SEARA,1,2024-11-01
3639,SEARA,1,2025-01-01
3720,SEARA,1,2025-02-01
3963,SEARA,1,2025-04-01
4110,SEARA,2,2025-05-01
4219,SEARA,1,2025-06-01
4469,SEARA,2,2025-12-01
68,TIJUCAS,1,2021-02-01
106,TIJUCAS,3,2021-03-01
538,TIJUCAS,3,2022-03-01
707,TIJUCAS,20,2022-04-01
874,TIJUCAS,57,2022-05-01
993,TIJUCAS,16,2022-06-01
1058,TIJUCAS,4,2022-07-01
1192,TIJUCAS,1,2022-12-01
1287,TIJUCAS,1,2023-02-01
1373,TIJUCAS,6,2023-03-01
1519,TIJUCAS,53,2023-04-01
1662,TIJUCAS,206,2023-05-01
1774,TIJUCAS,169,2023-06-01
1838,TIJUCAS,92,2023-07-01
1882,TIJUCAS,18,2023-08-01
1917,TIJUCAS,2,2023-09-01
1946,TIJUCAS,1,2023-10-01
1972,TIJUCAS,1,2023-11-01
2021,TIJUCAS,11,2023-12-01
2122,TIJUCAS,127,2024-01-01
2284,TIJUCAS,548,2024-02-01
2493,TIJUCAS,1211,2024-03-01
2737,TIJUCAS,1292,2024-04-01
2977,TIJUCAS,696,2024-05-01
3172,TIJUCAS,78,2024-06-01
3313,TIJUCAS,13,2024-07-01
3421,TIJUCAS,2,2024-09-01
3459,TIJUCAS,1,2024-10-01
3503,TIJUCAS,1,2024-11-01
3568,TIJUCAS,14,2024-12-01
3641,TIJUCAS,7,2025-01-01
3721,TIJUCAS,7,2025-02-01
3822,TIJUCAS,12,2025-03-01
3965,TIJUCAS,49,2025-04-01
4114,TIJUCAS,80,2025-05-01
4222,TIJUCAS,60,2025-06-01
4275,TIJUCAS,18,2025-07-01
4311,TIJUCAS,3,2025-08-01
4346,TIJUCAS,1,2025-09-01
4381,TIJUCAS,1,2025-10-01
4417,TIJUCAS,2,2025-11-01
4470,TIJUCAS,3,2025-12-01
4510,TIJUCAS,1,2026-02-01
163,TUBARAO,2,2021-04-01
334,TUBARAO,1,2021-12-01
416,TUBARAO,1,2022-02-01
542,TUBARAO,2,2022-03-01
709,TUBARAO,5,2022-04-01
877,TUBARAO,4,2022-05-01
1228,TUBARAO,2,2023-01-01
1374,TUBARAO,3,2023-03-01
1523,TUBARAO,8,2023-04-01
1664,TUBARAO,5,2023-05-01
1776,TUBARAO,2,2023-06-01
1841,TUBARAO,1,2023-07-01
1918,TUBARAO,1,2023-09-01
1974,TUBARAO,1,2023-11-01
2124,TUBARAO,1,2024-01-01
2289,TUBARAO,5,2024-02-01
2499,TUBARAO,14,2024-03-01
2742,TUBARAO,35,2024-04-01
2984,TUBARAO,76,2024-05-01
3176,TUBARAO,11,2024-06-01
3316,TUBARAO,2,2024-07-01
3461,TUBARAO,1,2024-10-01
3723,TUBARAO,1,2025-02-01
3968,TUBARAO,7,2025-04-01
4117,TUBARAO,1,2025-05-01
4225,TUBARAO,3,2025-06-01
4277,TUBARAO,1,2025-07-01
4471,TUBARAO,2,2025-12-01
4501,TUBARAO,1,2026-01-01
165,VIDEIRA,1,2021-04-01
335,VIDEIRA,1,2021-12-01
546,VIDEIRA,4,2022-03-01
716,VIDEIRA,3,2022-04-01
1378,VIDEIRA,3,2023-03-01
1669,VIDEIRA,1,2023-05-01
1779,VIDEIRA,1,2023-06-01
2022,VIDEIRA,2,2023-12-01
2126,VIDEIRA,1,2024-01-01
2291,VIDEIRA,3,2024-02-01
2505,VIDEIRA,14,2024-03-01
2750,VIDEIRA,40,2024-04-01
2993,VIDEIRA,52,2024-05-01
3180,VIDEIRA,18,2024-06-01
3319,VIDEIRA,1,2024-07-01
3375,VIDEIRA,1,2024-08-01
3571,VIDEIRA,1,2024-12-01
3643,VIDEIRA,2,2025-01-01
3724,VIDEIRA,7,2025-02-01
3826,VIDEIRA,59,2025-03-01
3974,VIDEIRA,178,2025-04-01
4120,VIDEIRA,76,2025-05-01
4226,VIDEIRA,15,2025-06-01
4347,VIDEIRA,1,2025-09-01
4472,VIDEIRA,1,2025-12-01
166,XANXERE,3,2021-04-01
223,XANXERE,2,2021-05-01
364,XANXERE,1,2022-01-01
418,XANXERE,26,2022-02-01
547,XANXERE,642,2022-03-01
717,XANXERE,715,2022-04-01
884,XANXERE,300,2022-05-01
996,XANXERE,17,2022-06-01
1059,XANXERE,2,2022-07-01
1229,XANXERE,1,2023-01-01
1289,XANXERE,2,2023-02-01
1379,XANXERE,5,2023-03-01
1527,XANXERE,8,2023-04-01
1670,XANXERE,8,2023-05-01
1780,XANXERE,2,2023-06-01
1947,XANXERE,3,2023-10-01
2023,XANXERE,2,2023-12-01
2127,XANXERE,4,2024-01-01
2292,XANXERE,9,2024-02-01
2506,XANXERE,55,2024-03-01
2751,XANXERE,361,2024-04-01
2994,XANXERE,494,2024-05-01
3181,XANXERE,106,2024-06-01
3320,XANXERE,44,2024-07-01
3376,XANXERE,3,2024-08-01
3725,XANXERE,3,2025-02-01
3827,XANXERE,17,2025-03-01
3976,XANXERE,21,2025-04-01
4121,XANXERE,11,2025-05-01
4227,XANXERE,3,2025-06-01
4502,XANXERE,1,2026-01-01
107,XAXIM,1,2021-03-01
167,XAXIM,3,2021-04-01
224,XAXIM,3,2021-05-01
419,XAXIM,2,2022-02-01
549,XAXIM,34,2022-03-01
719,XAXIM,69,2022-04-01
886,XAXIM,22,2022-05-01
998,XAXIM,2,2022-06-01
1529,XAXIM,4,2023-04-01
1672,XAXIM,4,2023-05-01
1782,XAXIM,2,2023-06-01
1948,XAXIM,1,2023-10-01
2293,XAXIM,9,2024-02-01
